date,demand,promotion,price_index,availability_index,deployment_activity
2024-04-01,209.64,0,100.17,95.4,36.51
2024-04-02,238.42,0,100.35,96.91,41.58
2024-04-03,205.86,0,100.52,97.09,41.72
2024-04-04,233.67,0,100.69,95.81,41.33
2024-04-05,189.68,0,100.86,97.2,44.43
2024-04-06,196.41,0,101.02,98.18,44.79
2024-04-07,198.57,0,101.17,98.4,42.19
2024-04-08,224.28,0,101.32,98.52,38.42
2024-04-09,236.39,0,101.47,97.93,44.11
2024-04-10,204.88,0,101.61,97.38,44.18
2024-04-11,211.62,0,101.74,97.24,43.91
2024-04-12,204.53,0,101.86,98.23,45.49
2024-04-13,186.94,0,101.97,98.21,41.45
2024-04-14,201.68,0,102.07,98.76,48.07
2024-04-15,220.24,0,102.17,98.5,42.42
2024-04-16,235.68,0,102.25,97.48,46.15
2024-04-17,227.62,0,102.32,96.52,41.59
2024-04-18,196.86,0,102.38,96.95,43.44
2024-04-19,196.19,0,102.43,97.09,48.68
2024-04-20,193.11,0,102.46,96.54,45.48
2024-04-21,179.67,0,102.49,96.01,48.05
2024-04-22,217.3,0,102.5,96.32,47.22
2024-04-23,237.07,0,102.5,95.51,46.92
2024-04-24,232.77,0,102.49,95.14,50.26
2024-04-25,181.76,0,102.46,95.53,47.46
2024-04-26,182.59,0,102.43,94.78,44.78
2024-04-27,209.57,0,102.38,95.0,47.14
2024-04-28,185.54,0,102.32,94.8,50.27
2024-04-29,184.73,0,102.25,93.63,50.37
2024-04-30,239.52,0,102.17,93.93,46.87
2024-05-01,230.63,0,102.07,95.15,48.97
2024-05-02,230.85,0,101.97,93.25,49.67
2024-05-03,201.67,0,101.86,92.53,50.52
2024-05-04,225.52,1,101.74,92.7,48.91
2024-05-05,196.21,0,101.61,94.05,50.81
2024-05-06,217.59,0,101.47,94.12,51.01
2024-05-07,254.99,0,101.32,94.12,54.41
2024-05-08,244.48,0,101.17,95.19,54.87
2024-05-09,199.84,0,101.02,92.64,53.34
2024-05-10,206.62,0,100.86,94.99,53.22
2024-05-11,204.3,0,100.69,96.03,54.64
2024-05-12,207.74,0,100.52,94.4,53.07
2024-05-13,205.85,0,100.35,95.18,52.74
2024-05-14,242.48,0,100.17,95.19,53.47
2024-05-15,278.38,1,100.0,95.37,54.39
2024-05-16,252.44,0,99.83,96.05,53.62
2024-05-17,195.52,0,99.65,97.55,56.54
2024-05-18,187.41,0,99.48,98.1,57.93
2024-05-19,191.73,0,99.31,96.82,53.54
2024-05-20,209.1,0,99.14,98.62,56.98
2024-05-21,220.68,0,98.98,97.51,56.69
2024-05-22,203.79,0,98.83,98.89,57.99
2024-05-23,218.84,0,98.68,97.73,57.44
2024-05-24,208.56,0,98.53,97.99,54.7
2024-05-25,186.55,0,98.39,98.23,55.2
2024-05-26,221.94,0,98.26,100.0,57.88
2024-05-27,215.77,0,98.14,98.58,59.96
2024-05-28,245.17,0,98.03,97.45,53.53
2024-05-29,273.41,1,97.93,98.53,58.68
2024-05-30,234.0,0,97.83,97.48,60.38
2024-05-31,207.03,0,97.75,97.23,57.68
2024-06-01,208.95,0,97.68,98.03,59.06
2024-06-02,195.74,0,97.62,97.2,56.5
2024-06-03,218.27,0,97.57,97.13,57.59
2024-06-04,232.22,0,97.54,96.69,54.49
2024-06-05,227.68,0,97.51,96.65,52.92
2024-06-06,225.83,0,97.5,96.44,59.35
2024-06-07,225.62,0,97.5,94.5,55.34
2024-06-08,184.54,0,97.51,96.05,56.22
2024-06-09,194.95,0,97.54,94.63,54.16
2024-06-10,221.25,0,97.57,94.05,53.89
2024-06-11,237.78,0,97.62,94.78,56.12
2024-06-12,261.39,1,97.68,94.67,54.76
2024-06-13,186.38,0,97.75,93.94,56.7
2024-06-14,202.04,0,97.83,94.85,56.56
2024-06-15,155.42,0,97.93,93.21,55.99
2024-06-16,203.5,0,98.03,93.77,55.51
2024-06-17,205.14,0,98.14,93.6,57.86
2024-06-18,229.88,0,98.26,93.97,52.22
2024-06-19,211.36,0,98.39,94.23,53.89
2024-06-20,191.09,0,98.53,93.39,55.9
2024-06-21,193.84,0,98.68,94.71,55.78
2024-06-22,175.43,0,98.83,94.39,50.02
2024-06-23,173.28,0,98.98,93.19,51.85
2024-06-24,231.75,1,99.14,93.34,54.79
2024-06-25,246.65,0,99.31,94.93,52.68
2024-06-26,226.62,0,99.48,95.03,51.64
2024-06-27,216.28,0,99.65,95.38,50.4
2024-06-28,193.87,0,99.83,95.7,49.65
2024-06-29,189.41,0,100.0,96.16,50.58
2024-06-30,172.81,0,100.17,96.94,49.08
2024-07-01,166.07,0,100.35,95.77,49.08
2024-07-02,204.95,0,100.52,95.99,48.91
2024-07-03,219.93,0,100.69,96.29,46.98
2024-07-04,187.34,0,100.86,97.49,48.99
2024-07-05,179.08,0,101.02,98.36,53.36
2024-07-06,156.15,0,101.17,97.36,43.58
2024-07-07,186.45,0,101.32,96.05,47.39
2024-07-08,193.42,0,101.47,96.71,44.85
2024-07-09,209.96,0,101.61,97.39,47.15
2024-07-10,212.79,0,101.74,97.61,45.74
2024-07-11,192.73,0,101.86,97.7,46.82
2024-07-12,176.13,0,101.97,97.97,47.32
2024-07-13,145.97,0,102.07,97.64,45.03
2024-07-14,138.66,0,102.17,98.47,46.61
2024-07-15,179.87,0,102.25,97.1,39.37
2024-07-16,201.03,0,102.32,96.79,46.96
2024-07-17,214.87,0,102.38,97.51,44.28
2024-07-18,206.12,0,102.43,95.86,45.45
2024-07-19,185.53,0,102.46,96.96,40.63
2024-07-20,142.23,0,102.49,96.49,41.21
2024-07-21,154.1,0,102.5,96.04,42.98
2024-07-22,181.3,0,102.5,96.97,42.5
2024-07-23,255.7,1,102.49,95.15,42.96
2024-07-24,214.52,0,102.46,96.76,44.44
2024-07-25,194.71,0,102.43,94.9,38.64
2024-07-26,158.47,0,102.38,93.93,44.05
2024-07-27,140.11,0,102.32,94.66,42.06
2024-07-28,163.36,0,102.25,93.67,41.6
2024-07-29,156.8,0,102.17,93.74,39.06
2024-07-30,185.97,0,102.07,94.42,43.02
2024-07-31,189.5,0,101.97,94.45,37.22
2024-08-01,199.51,0,101.86,93.58,43.4
2024-08-02,156.16,0,101.74,94.69,39.19
2024-08-03,120.34,0,101.61,94.84,42.38
2024-08-04,159.9,0,101.47,95.1,42.15
2024-08-05,163.19,0,101.32,94.57,44.87
2024-08-06,188.8,0,101.17,95.3,42.33
2024-08-07,189.79,0,101.02,93.2,41.48
2024-08-08,176.65,0,100.86,94.49,42.06
2024-08-09,171.53,0,100.69,94.33,45.84
2024-08-10,131.92,0,100.52,95.27,44.6
2024-08-11,147.66,0,100.35,95.05,43.01
2024-08-12,179.85,0,100.17,95.61,43.58
2024-08-13,181.78,0,100.0,97.32,41.21
2024-08-14,208.84,1,99.83,96.16,45.42
2024-08-15,189.35,0,99.65,96.84,41.45
2024-08-16,177.49,0,99.48,96.65,46.8
2024-08-17,151.59,0,99.31,97.11,45.9
2024-08-18,134.71,0,99.14,97.29,50.77
2024-08-19,181.96,0,98.98,97.8,44.17
2024-08-20,172.07,0,98.83,98.47,46.54
2024-08-21,201.74,0,98.68,98.95,50.73
2024-08-22,174.68,0,98.53,98.12,49.91
2024-08-23,151.32,0,98.39,98.38,46.54
2024-08-24,148.05,0,98.26,97.19,48.78
2024-08-25,155.86,0,98.14,97.93,48.75
2024-08-26,202.29,1,98.03,98.6,49.73
2024-08-27,199.62,0,97.93,98.46,48.18
2024-08-28,191.6,0,97.83,97.88,49.82
2024-08-29,196.06,0,97.75,98.2,47.22
2024-08-30,169.56,0,97.68,97.73,51.11
2024-08-31,146.38,0,97.62,98.02,52.15
2024-09-01,147.61,0,97.57,97.14,51.21
2024-09-02,154.02,0,97.54,96.44,48.84
2024-09-03,196.45,0,97.51,96.65,54.45
2024-09-04,190.84,0,97.5,94.09,53.6
2024-09-05,155.26,0,97.5,96.13,51.8
2024-09-06,156.45,0,97.51,93.03,53.07
2024-09-07,139.94,0,97.54,94.11,51.0
2024-09-08,174.98,0,97.57,95.38,52.31
2024-09-09,152.93,0,97.62,95.16,53.63
2024-09-10,173.48,0,97.68,93.8,57.49
2024-09-11,206.98,0,97.75,93.93,54.07
2024-09-12,199.61,0,97.83,95.23,56.94
2024-09-13,153.37,0,97.93,93.81,54.87
2024-09-14,144.35,0,98.03,95.63,56.71
2024-09-15,162.03,0,98.14,94.01,56.19
2024-09-16,144.57,0,98.26,94.29,58.46
2024-09-17,166.69,0,98.39,95.16,55.86
2024-09-18,188.29,0,98.53,94.19,53.98
2024-09-19,197.76,0,98.68,93.5,54.54
2024-09-20,155.65,0,98.83,94.27,56.4
2024-09-21,149.53,0,98.98,94.49,55.11
2024-09-22,166.55,0,99.14,93.76,58.55
2024-09-23,195.16,0,99.31,94.76,56.89
2024-09-24,181.76,0,99.48,94.67,62.65
2024-09-25,190.46,0,99.65,96.1,54.48
2024-09-26,235.43,1,99.83,95.75,58.4
2024-09-27,174.99,1,100.0,95.8,55.74
2024-09-28,160.07,0,100.17,96.2,57.0
2024-09-29,174.21,1,100.35,96.71,58.24
2024-09-30,169.17,0,100.52,97.25,53.25
2024-10-01,183.14,0,100.69,96.36,58.3
2024-10-02,179.8,0,100.86,96.56,61.53
2024-10-03,166.76,0,101.02,98.26,56.7
2024-10-04,162.42,0,101.17,97.37,57.99
2024-10-05,159.05,0,101.32,96.81,59.36
2024-10-06,149.63,0,101.47,98.21,56.8
2024-10-07,202.75,1,101.61,98.29,55.77
2024-10-08,189.67,0,101.74,96.93,52.16
2024-10-09,178.04,0,101.86,98.15,57.75
2024-10-10,186.17,0,101.97,98.46,55.99
2024-10-11,167.03,0,102.07,98.12,53.92
2024-10-12,177.24,0,102.17,98.17,55.91
2024-10-13,178.1,1,102.25,96.59,54.19
2024-10-14,160.94,0,102.32,97.62,53.98
2024-10-15,193.17,0,102.38,96.96,55.91
2024-10-16,196.4,0,102.43,96.6,51.68
2024-10-17,170.36,0,102.46,97.29,56.09
2024-10-18,185.27,1,102.49,97.45,50.84
2024-10-19,151.24,0,102.5,97.4,51.93
2024-10-20,140.56,0,102.5,96.78,56.71
2024-10-21,161.49,0,102.49,95.51,54.73
2024-10-22,184.16,0,102.46,95.56,52.27
2024-10-23,198.76,0,102.43,95.6,49.78
2024-10-24,167.69,0,102.38,94.91,50.19
2024-10-25,134.27,0,102.32,94.7,50.98
2024-10-26,121.92,0,102.25,95.0,50.49
2024-10-27,133.76,0,102.17,94.23,49.82
2024-10-28,150.29,0,102.07,93.64,49.52
2024-10-29,181.71,0,101.97,93.77,48.74
2024-10-30,173.52,0,101.86,94.45,45.86
2024-10-31,168.21,0,101.74,94.0,47.3
2024-11-01,149.87,0,101.61,94.27,49.76
2024-11-02,141.03,0,101.47,94.57,44.79
2024-11-03,167.34,0,101.32,93.94,46.75
2024-11-04,177.28,0,101.17,94.87,45.11
2024-11-05,187.86,0,101.02,94.78,46.59
2024-11-06,185.98,0,100.86,93.85,45.22
2024-11-07,177.65,0,100.69,95.95,48.6
2024-11-08,166.87,0,100.52,94.84,46.31
2024-11-09,157.03,0,100.35,94.29,42.34
2024-11-10,145.84,0,100.17,94.99,45.99
2024-11-11,174.18,0,100.0,95.29,42.79
2024-11-12,168.02,0,99.83,96.31,42.9
2024-11-13,200.49,0,99.65,96.36,44.41
2024-11-14,195.44,0,99.48,96.58,42.54
2024-11-15,166.08,0,99.31,97.49,45.08
2024-11-16,178.87,0,99.14,97.52,41.52
2024-11-17,151.66,0,98.98,97.71,41.63
2024-11-18,182.86,0,98.83,97.94,41.38
2024-11-19,197.95,0,98.68,98.23,41.4
2024-11-20,202.11,0,98.53,96.43,44.59
2024-11-21,191.24,0,98.39,97.71,43.53
2024-11-22,175.44,0,98.26,96.47,45.59
2024-11-23,174.5,0,98.14,98.01,46.63
2024-11-24,183.42,0,98.03,97.94,39.98
2024-11-25,185.92,0,97.93,98.59,42.15
2024-11-26,212.71,0,97.83,98.56,39.65
2024-11-27,199.14,0,97.75,97.72,40.46
2024-11-28,205.15,0,97.68,97.04,40.78
2024-11-29,168.37,0,97.62,97.52,39.98
2024-11-30,178.71,0,97.57,96.57,40.07
2024-12-01,197.72,0,97.54,96.68,41.98
2024-12-02,187.06,0,97.51,97.11,39.96
2024-12-03,180.56,0,97.5,95.75,44.22
2024-12-04,204.32,0,97.5,96.42,40.86
2024-12-05,216.71,0,97.51,96.06,48.49
2024-12-06,186.82,0,97.54,94.65,42.17
2024-12-07,172.88,0,97.57,95.74,43.43
2024-12-08,185.53,0,97.62,95.31,40.94
2024-12-09,198.64,0,97.68,94.68,47.2
2024-12-10,224.2,0,97.75,93.89,46.29
2024-12-11,224.63,0,97.83,93.67,44.94
2024-12-12,219.34,0,97.93,93.77,41.95
2024-12-13,188.28,0,98.03,94.44,45.39
2024-12-14,181.73,0,98.14,93.34,43.05
2024-12-15,174.3,0,98.26,94.31,48.57
2024-12-16,187.19,0,98.39,93.16,47.62
2024-12-17,232.52,0,98.53,93.96,46.56
2024-12-18,217.72,0,98.68,94.28,41.87
2024-12-19,215.45,0,98.83,96.05,45.17
2024-12-20,188.12,0,98.98,93.55,48.9
2024-12-21,169.87,0,99.14,95.74,50.36
2024-12-22,181.14,0,99.31,95.05,50.56
2024-12-23,214.2,0,99.48,95.47,45.56
2024-12-24,222.57,0,99.65,95.53,49.77
2024-12-25,200.82,0,99.83,96.03,51.61
2024-12-26,205.28,0,100.0,95.89,46.68
2024-12-27,212.6,0,100.17,97.3,50.4
2024-12-28,176.62,0,100.35,96.23,51.38
2024-12-29,162.69,0,100.52,97.61,50.65
2024-12-30,222.86,0,100.69,96.61,47.96
2024-12-31,227.4,0,100.86,97.24,51.42
2025-01-01,222.69,0,101.02,96.74,51.82
2025-01-02,208.5,0,101.17,97.98,52.57
2025-01-03,207.51,0,101.32,98.81,52.13
2025-01-04,176.0,0,101.47,97.85,52.75
2025-01-05,201.23,0,101.61,97.83,53.92
2025-01-06,211.53,0,101.74,97.22,55.24
2025-01-07,225.49,0,101.86,97.83,54.09
2025-01-08,228.28,0,101.97,96.83,54.22
2025-01-09,213.62,0,102.07,97.22,55.54
2025-01-10,208.69,0,102.17,97.89,51.82
2025-01-11,176.44,0,102.25,98.5,56.9
2025-01-12,172.35,0,102.32,99.36,56.22
2025-01-13,215.27,0,102.38,96.76,56.55
2025-01-14,234.63,0,102.43,97.94,58.63
2025-01-15,234.88,0,102.46,96.85,53.02
2025-01-16,222.32,0,102.49,96.31,53.18
2025-01-17,196.74,0,102.5,96.44,57.86
2025-01-18,198.2,0,102.5,95.9,57.45
2025-01-19,193.04,0,102.49,95.66,57.95
2025-01-20,204.73,0,102.46,95.03,56.8
2025-01-21,224.86,0,102.43,94.08,59.15
2025-01-22,257.73,0,102.38,93.74,59.77
2025-01-23,201.98,0,102.32,95.07,58.92
2025-01-24,209.33,0,102.25,94.23,57.47
2025-01-25,170.44,0,102.17,93.85,53.78
2025-01-26,196.46,0,102.07,94.15,59.53
2025-01-27,211.09,0,101.97,94.62,60.4
2025-01-28,208.48,0,101.86,94.14,59.19
2025-01-29,275.7,1,101.74,93.54,56.07
2025-01-30,223.27,0,101.61,94.89,59.07
2025-01-31,184.62,0,101.47,95.2,59.33
2025-02-01,208.79,0,101.32,94.55,60.59
2025-02-02,219.53,0,101.17,95.02,55.56
2025-02-03,238.83,0,101.02,95.38,56.68
2025-02-04,243.96,0,100.86,95.51,58.42
2025-02-05,244.62,0,100.69,95.37,56.82
2025-02-06,248.17,0,100.52,95.61,54.24
2025-02-07,235.26,0,100.35,95.81,57.05
2025-02-08,217.05,0,100.17,94.95,57.1
2025-02-09,197.76,0,100.0,96.49,55.83
2025-02-10,228.72,0,99.83,95.33,55.79
2025-02-11,249.56,0,99.65,96.0,54.52
2025-02-12,229.83,0,99.48,97.73,57.66
2025-02-13,244.22,0,99.31,97.65,52.56
2025-02-14,248.07,0,99.14,98.33,52.83
2025-02-15,216.94,0,98.98,97.3,53.65
2025-02-16,232.11,0,98.83,96.85,55.01
2025-02-17,233.25,0,98.68,97.63,49.87
2025-02-18,282.29,1,98.53,97.97,49.85
2025-02-19,258.06,0,98.39,98.02,48.0
2025-02-20,234.25,0,98.26,98.79,51.73
2025-02-21,212.38,0,98.14,97.74,49.01
2025-02-22,228.5,0,98.03,98.19,50.07
2025-02-23,234.52,0,97.93,97.16,51.74
2025-02-24,223.43,0,97.83,98.05,48.72
2025-02-25,298.82,1,97.75,97.58,50.04
2025-02-26,289.92,1,97.68,96.86,48.57
2025-02-27,284.23,1,97.62,97.01,50.09
2025-02-28,232.61,0,97.57,96.81,49.29
2025-03-01,226.36,0,97.54,96.49,46.55
2025-03-02,221.02,0,97.51,97.66,47.19
2025-03-03,254.17,0,97.5,96.07,49.22
2025-03-04,291.63,1,97.5,95.69,47.53
2025-03-05,263.52,0,97.51,94.12,43.57
2025-03-06,236.05,0,97.54,94.69,47.31
2025-03-07,251.85,0,97.57,94.88,43.47
2025-03-08,221.14,0,97.62,94.34,48.12
2025-03-09,228.87,0,97.68,95.58,47.01
2025-03-10,250.88,1,97.75,94.31,45.23
2025-03-11,243.96,0,97.83,95.17,44.66
2025-03-12,272.0,0,97.93,94.19,43.64
2025-03-13,249.17,0,98.03,94.09,45.14
2025-03-14,202.76,0,98.14,93.95,42.79
2025-03-15,226.63,0,98.26,94.0,43.76
2025-03-16,213.02,0,98.39,95.23,44.82
2025-03-17,250.74,0,98.53,92.47,41.75
2025-03-18,249.96,0,98.68,92.8,41.46
2025-03-19,257.89,0,98.83,93.96,40.14
2025-03-20,257.95,0,98.98,94.52,40.26
2025-03-21,213.65,0,99.14,95.2,38.62
2025-03-22,202.23,0,99.31,95.27,43.63
2025-03-23,216.34,0,99.48,94.92,45.72
2025-03-24,280.15,1,99.65,96.16,44.89
2025-03-25,235.27,0,99.83,96.44,38.76
2025-03-26,270.68,1,100.0,96.13,43.45
2025-03-27,255.47,0,100.17,96.95,44.86
2025-03-28,217.58,0,100.35,96.74,41.13
2025-03-29,208.16,0,100.52,96.42,42.3
2025-03-30,193.86,0,100.69,97.55,38.16
2025-03-31,226.45,0,100.86,97.36,42.81
2025-04-01,250.64,0,101.02,97.49,40.26
2025-04-02,267.61,0,101.17,98.69,42.93
2025-04-03,232.16,0,101.32,96.08,39.57
2025-04-04,244.04,0,101.47,96.91,43.96
2025-04-05,204.35,0,101.61,97.14,45.12
2025-04-06,207.59,0,101.74,97.74,41.72
2025-04-07,251.09,0,101.86,97.81,41.25
2025-04-08,250.93,0,101.97,96.89,39.47
2025-04-09,247.41,0,102.07,97.16,43.52
2025-04-10,239.94,0,102.17,97.13,43.18
2025-04-11,239.6,0,102.25,99.3,41.54
2025-04-12,229.98,0,102.32,98.65,45.87
2025-04-13,205.01,0,102.38,96.89,44.4
2025-04-14,230.91,0,102.43,96.68,43.49
2025-04-15,249.54,0,102.46,95.88,44.89
2025-04-16,241.51,0,102.49,95.08,48.51
2025-04-17,241.12,0,102.5,96.06,47.95
2025-04-18,221.72,0,102.5,95.16,46.87
2025-04-19,224.27,0,102.49,95.52,48.77
2025-04-20,227.31,0,102.46,94.2,45.61
2025-04-21,227.23,0,102.43,94.53,48.4
2025-04-22,246.28,0,102.38,94.93,49.04
2025-04-23,260.74,0,102.32,94.87,48.22
2025-04-24,234.54,0,102.25,94.72,50.45
2025-04-25,227.96,0,102.17,93.34,48.44
2025-04-26,209.94,0,102.07,94.74,51.44
2025-04-27,203.02,0,101.97,93.5,51.94
2025-04-28,218.77,0,101.86,94.45,45.42
2025-04-29,301.61,1,101.74,93.99,54.04
2025-04-30,249.27,0,101.61,93.07,45.98
2025-05-01,261.39,0,101.47,93.88,51.24
2025-05-02,218.21,0,101.32,94.46,54.92
2025-05-03,215.47,0,101.17,94.77,52.62
2025-05-04,244.13,0,101.02,94.42,50.7
2025-05-05,221.32,0,100.86,95.79,51.81
2025-05-06,230.06,0,100.69,95.65,56.41
2025-05-07,270.27,0,100.52,95.01,50.86
2025-05-08,235.99,0,100.35,95.97,57.29
2025-05-09,226.67,0,100.17,97.08,55.24
2025-05-10,207.59,0,100.0,97.37,53.27
2025-05-11,221.43,0,99.83,95.42,54.78
2025-05-12,224.19,0,99.65,95.9,54.18
2025-05-13,253.38,0,99.48,97.85,58.2
2025-05-14,264.24,0,99.31,96.32,58.17
2025-05-15,233.27,0,99.14,96.36,53.49
2025-05-16,219.41,0,98.98,97.15,56.32
2025-05-17,212.02,0,98.83,97.95,55.58
2025-05-18,204.7,0,98.68,97.73,60.06
2025-05-19,231.97,0,98.53,97.45,54.91
2025-05-20,257.77,0,98.39,97.5,60.94
2025-05-21,254.62,0,98.26,97.5,57.76
2025-05-22,243.32,0,98.14,97.37,55.58
2025-05-23,228.9,0,98.03,99.54,56.6
2025-05-24,208.19,0,97.93,98.06,56.39
2025-05-25,228.3,0,97.83,98.35,55.45
2025-05-26,254.48,0,97.75,97.23,58.18
2025-05-27,281.74,1,97.68,97.26,55.5
2025-05-28,262.07,0,97.62,96.68,53.54
2025-05-29,241.4,0,97.57,95.08,57.07
2025-05-30,228.65,0,97.54,95.72,54.12
2025-05-31,231.14,0,97.51,95.15,56.1
2025-06-01,221.81,0,97.5,94.56,55.65
2025-06-02,245.51,1,97.5,95.02,55.57
2025-06-03,257.94,0,97.51,96.51,61.13
2025-06-04,268.86,0,97.54,95.28,57.04
2025-06-05,239.53,0,97.57,95.96,57.2
2025-06-06,232.49,0,97.62,95.11,52.92
2025-06-07,200.56,0,97.68,95.16,54.91
2025-06-08,194.33,0,97.75,93.79,56.38
2025-06-09,230.05,0,97.83,94.63,53.61
2025-06-10,225.14,0,97.93,94.66,57.17
2025-06-11,244.72,0,98.03,93.66,52.63
2025-06-12,251.5,0,98.14,94.4,54.13
2025-06-13,193.04,0,98.26,94.4,53.19
2025-06-14,187.93,0,98.39,93.65,54.33
2025-06-15,193.53,0,98.53,93.31,52.35
2025-06-16,221.79,0,98.68,93.37,52.71
2025-06-17,235.18,0,98.83,94.4,52.39
2025-06-18,293.59,1,98.98,94.74,51.0
2025-06-19,241.92,0,99.14,94.16,53.04
2025-06-20,216.74,0,99.31,94.96,52.14
2025-06-21,199.9,0,99.48,95.59,51.07
2025-06-22,206.13,0,99.65,95.88,49.98
2025-06-23,208.79,0,99.83,96.81,52.01
2025-06-24,245.0,0,100.0,96.89,49.53
2025-06-25,223.77,0,100.17,95.58,48.97
2025-06-26,235.98,0,100.35,97.73,49.37
2025-06-27,220.43,0,100.52,96.44,52.14
2025-06-28,194.64,0,100.69,97.79,45.66
2025-06-29,194.49,0,100.86,97.33,49.47
2025-06-30,215.74,0,101.02,97.2,43.74
2025-07-01,193.84,0,101.17,96.39,47.57
2025-07-02,236.95,0,101.32,97.68,49.9
2025-07-03,217.85,0,101.47,96.81,47.35
2025-07-04,199.63,0,101.61,98.65,46.34
2025-07-05,195.73,0,101.74,99.06,44.52
2025-07-06,189.14,0,101.86,97.43,45.36
2025-07-07,193.03,0,101.97,98.15,44.46
2025-07-08,254.54,1,102.07,97.35,43.08
2025-07-09,226.87,0,102.17,97.29,43.76
2025-07-10,215.7,0,102.25,98.12,44.45
2025-07-11,195.31,0,102.32,97.36,42.25
